rank,prev_rank,name,league,off,def,spi
370,339,Sagan Tosu,Japanese J League,1.07,1.52,35.32
371,353,Sarpsborg,Norwegian Tippeligaen,1.35,1.87,35.31
372,371,Hibernian,Scottish Premiership,0.93,1.33,35.3
373,372,Eibar,Spanish Segunda Division,0.95,1.37,35.14
374,373,Real Oviedo,Spanish Segunda Division,0.93,1.34,35.11
375,374,Tondela,Portuguese Liga,1.08,1.54,35.11
376,375,San Lorenzo,Argentina Primera Division,0.95,1.38,35.02
377,376,Ionikos FC,Greek Super League,1.08,1.55,34.99
378,384,Nagoya Grampus Eight,Japanese J League,0.84,1.23,34.9
379,378,Holstein Kiel,German 2. Bundesliga,1.21,1.71,34.85
380,379,1. FC Heidenheim 1846,German 2. Bundesliga,1.12,1.61,34.8
381,380,FC Nordsjaelland,Danish SAS-Ligaen,1.14,1.63,34.78
382,381,FC Cartagena,Spanish Segunda Division,1.09,1.58,34.53
383,382,Aberdeen,Scottish Premiership,0.95,1.4,34.53
384,351,AIK,Swedish Allsvenskan,1.04,1.53,34.43
385,383,Standard Liege,Belgian Jupiler League,1.01,1.49,34.41
386,408,Charlotte FC,Major League Soccer,0.99,1.47,34.21
387,385,Dundee Utd,Scottish Premiership,0.94,1.41,34.18
388,386,Reading,English League Championship,1.12,1.64,34.17
389,387,Karlsruher SC,German 2. Bundesliga,1.26,1.81,34.16
390,388,AC Ajaccio,French Ligue 2,0.69,1.06,34.16
391,390,Hansa Rostock,German 2. Bundesliga,1.08,1.59,34.14
392,393,Colon Santa Fe,Argentina Primera Division,0.92,1.39,33.95
393,369,Stromsgodset,Norwegian Tippeligaen,1.19,1.74,33.94
394,394,Perugia,Italy Serie B,0.83,1.28,33.87
395,395,FC Lugano,Swiss Raiffeisen Super League,1.13,1.69,33.64
396,396,Tenerife,Spanish Segunda Division,0.84,1.3,33.64
397,398,Melbourne City,Australian A-League,1.18,1.76,33.54
398,400,Sheffield Wednesday,English League One,1.12,1.68,33.52
399,401,FK Nizhny Novgorod,Russian Premier Liga,0.82,1.27,33.52
400,402,Jablonec,UEFA Europa Conference League,1.09,1.64,33.5
401,403,Platense,Argentina Primera Division,1.01,1.54,33.47
402,404,Amiens,French Ligue 2,0.85,1.33,33.42
403,405,Real Zaragoza,Spanish Segunda Division,0.9,1.4,33.35
404,397,Sporting Kansas City,Major League Soccer,1.04,1.58,33.33
